	 dpk16ahr203728_04328	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203728_04328	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203749_04308	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203749_04308	Resting	run_01	uprun_01.nii	Bad	Fri Oct 19 10:43:15 EDT 2018	chriswag	Left hemishpere looks morphed
	 dpk16ahr203773_04665	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203773_04665	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203776_04192	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr203776_04192	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr210008_04750	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr210008_04750	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr210273_04523	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr210601_04429	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr210601_04429	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr210608_04160	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr210608_04160	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr210659_04944	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr210659_04944	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr210686_03966	Anatomy	t1spgr_208sl.nii	h{anat}.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
	 dpk16ahr210686_03966	Resting	run_01	uprun_01.nii	Good	Fri Oct 19 10:43:15 EDT 2018	chriswag
